City,Province
Harare,Harare
Bulawayo,Bulawayo
Chitungwiza,Harare
Mutare,Manicaland
Epworth,Mashonaland East
Gweru,Midlands
Kwekwe,Midlands
Kadoma,Mashonaland West
Masvingo,Masvingo
Chinhoyi,Mashonaland West
Norton,Mashonaland West
Marondera,Mashonaland East
Ruwa,Mashonaland East
Chegutu,Mashonaland West
Zvishavane,Midlands
Bindura,Mashonaland Central
Beitbridge,Matabeleland South
Redcliff,Midlands
Victoria Falls,Matabeleland North
Rusape,Manicaland
Chiredzi,Masvingo
Kariba,Mashonaland West
Karoi,Mashonaland West
Chipinge,Manicaland
Gokwe,Midlands
Shurugwi,Midlands
